"Reference","Speaker","Codes","Discourse","Context","C1","C2_","_C3","S1","S2_","S3_"
50468,"75csb1",1122,"read","que0412 maire0412 deBeaulieu ne1112 sait plus à  quel0412 saint se111","R","d","b",1,0,0
50472,"75csb1",1122,"read","ans l'église0412 deSaint-Martinville0413.","z","d","s",1,0,1
50478,"75csb1",1422,"read","Quelques fanatique0411s auraient même0411 entamé un je","l","k","f",3,0,1
50485,"75csb1",422,"read","que1112 des activistes des commune0412s voisine0413s","s","t","d",1,0,0
50491,"75csb1",422,"read",,"s","t","?",1,0,"?"
50495,"75csb1",422,"read","quelque1421s articles parus dans La Dépêche0412 du Centre0423,","k","l","p",0,3,0
50507,"75csb1",1422,"read","jaloux de1112 notreliberté.","t","R","l",0,1,3
50509,"75csb1",1122,"read","ne0412 membre0422 del'opposition aurait déclaré :","R","d","l",1,0,3
50511,"75csb1",422,"read","Un jeune0412 membrede1122 l'opposition aurait déclaré :","b","R","d",0,1,0
50516,"75csb1",1422,"read","risquent de1112 provoquer une0411 explosion.","s","k","d",1,0,0
50521,"75csb1",1122,"read","est fait pour0412 leprotéger.","R","l","p",1,3,0
50524,"75csb1",1122,"read","et s'assure0412 quetout est fait pour0412 le1122 protéger.","R","k","t",1,0,0
50534,"75csb1",1422,"read","D'un autrecôté,","t","R","k",0,1,0
50537,"75csb1",1422,"read","manifestent leur0412 colère0413.","s","t","l",1,0,3
50555,"75csb1",1122,"read","ne1122 cesse0412 debaisser de1212puis les élections.","s","d","b",1,0,0
50731,"75ccb2",1422,"read","1122 Beaulieu - MarcBlanc - est en re1212vanche0412 très inquiet","R","k","b",1,0,0
50733,"75ccb2",1122,"read","Le1132 maire0412 deBeaulieu - Marc1422 Blanc - est en re1212vanche04","R","d","b",1,0,0
50739,"75ccb2",1122,"read","ut découvrir0412 cequ'il0411 appelle0412 ' la campagne0412 profonde","R","s","k",1,1,0
50746,"75ccb2",1422,"read","122 Premier Ministre, lassé des circuits habituel0412s qui tournaient","t","R"," l",0,1,3
50748,"75ccb2",1122,"read","0312ment, car0412 lePremier Ministre1422, lassé des circuits habitue","R","l","p",1,3,0
50758,"75ccb2",1122,"read","ent son usine0412 depâte0411s italienne2413s.","n","d","p",2,0,0
50764,"75ccb2",1122,"read","ux olympique0412s deBerlin en dix0412-neuf0412 cent trente0412 six041","k","d","b",0,0,0
50771,"75ccm1",1122,"read","ne1122 cesse0412 debaisser de1212puis les élections.","s","d","b",1,0,0
50773,"75ccm1",1422,"read","du Premier Ministrene1122 cesse0412 de1122 baisser de1212puis les é","t","R","n",0,1,2
50774,"75ccm1",1122,"read","mier Ministre1422 necesse0412 de1122 baisser de1212puis les élection","R","n","s",1,2,1
50776,"75ccm1",422,"read","1122 Beaulieu - MarcBlanc - est en re1212vanche0412 très inquiet.","R","k","b",1,0,0
50778,"75ccm1",1122,"read","Le1132 maire0412 deBeaulieu - Marc0422 Blanc - est en re1212vanche04","R","d","b",1,0,0
50784,"75ccm1",1122,"read","ut découvrir0412 cequ'il appelle0412 ' la campagne0412 profonde0413","R","s","k",1,1,0
50791,"75ccm1",422,"read","122 Premier Ministrelassé des circuits habituel0414s","t","R","l",0,1,3
50792,"75ccm1",1122,"read","car0412 lePremier Ministre0422 lassé des circuits habituel","R","l","p",1,3,0
50801,"75ccm1",1122,"read","ent son usine0412 depâte0412s italiennes.","n","d","p",2,0,0
50808,"75ccm1",1122,"read","ux olympique0412s deBerlin en mille0412 neuf0412 cent trente0412 six0","k","d","b",0,0,0
50812,"75ccr1",1122,"read","ut découvrir0412 cequ'il0411 appelle0412 ' la campagne1412 profonde","R","s","k",1,1,0
50819,"75ccr1",422,"read","122 Premier Ministre, lassé des circuits habituel0413s","t","R"," l",0,1,3
50820,"75ccr1",1122,"read","car0412 lePremier Ministre0422, lassé des circuits habitue","R","l","p",1,3,0
50831,"75ccr1",1122,"read","nt, son usine0412 depâte1412s italienne0413s.","n","d","p",2,0,0
50836,"75ccr1",1122,"read","ux olympique0412s deBerlin en mille0412 neuf0412 cent trente0412 six0","k","d","b",0,0,0
50919,"75clb1",1122,"read","ne1112 cesse0412 debaisser de1212puis les élections.","s","d","b",1,0,0
50925,"75clb1",1422,"read","1122 Beaulieu - MarcBlanc -","R","k","b",1,0,0
50926,"75clb1",1122,"read","Le1132 maire0412 deBeaulieu - Marc1422 Blanc -","R","d","b",1,0,0
50933,"75clb1",1122,"read","ut découvrir0412 cequ'il0411 appelle0412 ' la campagne0412 profonde","R","s","k",1,1,0
50940,"75clb1",422,"read","122 Premier Ministre, lassé des circuits habituel0412s qui tournaient","t","R"," l",0,1,3
50941,"75clb1",1122,"read","0312ment, car0412 lePremier Ministre0422, lassé des circuits habitue","R","l","p",1,3,0
50948,"75clb1",1122,"read","grand honneur0413 ?","?","?","g","?","?",0
50953,"75clb1",1122,"read","nt, son usine0412 depâte0411s italienne0413s.","n","d","p",2,0,0
50958,"75clb1",1122,"read","ux olympique0412s deBerlin en dix0412-neuf0412 cent trente0412-six041","k","d","b",0,0,0
51030,"75csb1",1122,"read","mier Ministre0422 necesse0412 de1122 baisser de1212puis les élection","R","n","s",1,2,1
51031,"75csb1",422,"read","du Premier Ministrene1122 cesse0412 de1122 baisser de1212puis les é","t","R","n",0,1,2
51035,"75csb1",1122,"read","Le1132 maire0412 deBeaulieu - Marc0422 Blanc -","R","d","b",1,0,0
51036,"75csb1",422,"read","1122 Beaulieu - MarcBlanc -","R","k","b",1,0,0
51043,"75csb1",1122,"read","ut découvrir0412 cequ'il0411 appelle0412 ' la campagne0412 profonde","R","s","k",1,1,0
51051,"75csb1",1122,"read","car0412 lePremier Ministre0424,","R","l","p",1,3,0
51062,"75csb1",1122,"read","nt, son usine0412 depâte0411s italienne0413s.","n","d","p",2,0,0
51068,"75csb1",1122,"read","ux olympique0412s deBerlin en mille0412 neuf0412 cent trente0412-six0","k","d","b",0,0,0
51130,"75ccb2",1122,"read","hampion local0412 decourse0421 à  pied (Louis Garret)","l","d","k",3,0,0
51135,"75ccb2",1122,"read","de1112 gloire0412 deBeaulieu étaient son vin blanc sec0411, et ses c","R","d","b",1,0,0
51138,"75ccb2",1422,"read","les seul0412s titres de1112 gloire0412 de1122 Beaulieu étaient son v","t","R","d",0,1,0
51141,"75ccm1",1122,"read","hampion local0412 decourse0421 à  pied (Louis Garret)","l","d","k",3,0,0
51146,"75ccm1",1122,"read","de1112 gloire0412 deBeaulieu étaient son vin blanc sec0414,","R","d","b",1,0,0
51149,"75ccm1",1422,"read","les seul0412s titres de1112 gloire0412 de1122 Beaulieu étaient son v","t","R","d",0,1,0
51153,"75ccr1",1122,"read","hampion local0412 decourse0421 à  pied (Louis Garret),","l","d","k",3,0,0
51158,"75ccr1",1122,"read","de1122 gloire0412 deBeaulieu","R","d","b",1,0,0
51180,"75clb1",1122,"read","hampion local0412 decourse0421 à  pied (Louis Garret),","l","d","k",3,0,0
51185,"75clb1",1122,"read","de1122 gloire0412 deBeaulieu étaient son vin blanc sec0414,","R","d","b",1,0,0
51187,"75clb1",1122,"read","l0412s titre1422s degloire0412 de1122 Beaulieu étaient son vin blanc","R","d","g",1,0,0
51211,"75csb1",1122,"read","hampion local0412 decourse0421 à  pied (Louis Garret),","l","d","k",3,0,0
51216,"75csb1",1122,"read","de1122 gloire0412 deBeaulieu","R","d","b",1,0,0
51218,"75csb1",1122,"read","l0412s titre0422s degloire0412 de1122 Beaulieu","R","d","g",1,0,0
51259,"75ccb2",1122,"read","0411 au cour0412s desa tournée de1112 la région en fin d'année.","R","d","s",1,0,1
51268,"75ccb2",1122,"read","e1132 village0412 deBeaulieu est en grand émoi.","ʒ","d","b",1,0,0
51274,"75ccm1",1122,"read","0411 au cour0412s dela tournée de1112 la région en fin d'année.","R","d","l",1,0,3
51283,"75ccm1",1122,"read","e1132 village0412 deBeaulieu est en grand émoi.","ʒ","d","b",1,0,0
51286,"75ccr1",1122,"read","l0412s titre1422s degloire0412 de1122 Beaulieu","R","d","g",1,0,0
51287,"75ccr1",1422,"read","les seul0412s titres de1122 gloire0412 de1122 Beaulieu","t","R","d",0,1,0
51290,"75ccr1",1122,"read","au cour0412s desa tournée de1112 la région en fin d'année.","R","d","s",1,0,1
51299,"75ccr1",1122,"read","e1132 village0412 deBeaulieu est en grand émoi","ʒ","d","b",1,0,0
51331,"75clb1",1422,"read","les seul0412s titres de1122 gloire0412 de1122 Beaulieu étaient son v","t","R","d",0,1,0
51335,"75clb1",1122,"read","au cour0412s desa tournée de1112 la/ de1112 la région en fin d","R","d","s",1,0,1
51344,"75clb1",1122,"read","e1132 village0412 deBeaulieu est en grand émoi.","ʒ","d","b",1,0,0
51377,"75csb1",422,"read","les seul0412s titres de1122 gloire0412 de1122 Beaulieu","t","R","d",0,1,0
51380,"75csb1",1122,"read","0411 au cour0412s desa tournée de1112 la région en fin d'année.","R","d","s",1,0,1
51389,"75csb1",1122,"read","e1132 village0412 deBeaulieu est en grand émoi.","ʒ","d","b",1,0,0
51425,"75ccm1",422,"read","12 trouver au centred'une0412 bataille0412 politique0413","t","R","d",0,1,0
51429,"75ccr1",422,"read","12 trouver au centred'une0412 bataille0412 politique0413","t","R","d",0,1,0
51445,"75clb1",1422,"read","12 trouver au centred'une0412 bataille0412 politique0413","t","R","d",0,1,0
51460,"75csb1",422,"read","12 trouver au centred'une0412 bataille0412 politique0413","t","R","d",0,1,0
122725,"75ccb2",422,"guided","i j'avais tout justedix-sept0413.","s","t","d",1,0,0
122727,"75ccb2",1422,"guided","uh non parce0312 quemoi j'avais tout juste0422 dix-sept0413.","s","k","m",1,0,2
122729,"75ccb2",1422,"guided",": Non parce0312 quemoi j'avais euh non parce0312 que1422 moi j'avais","s","k","m",1,0,2
122744,"75ccb2",1122,"guided","à  que1112 je0112 mesuis fait des pote0412s du quartier.","ʒ","m","s",1,2,1
122750,"75ccb2",1122,"guided","CB : Ben je0112 mesuis dit 'ben ça a l'air0412 cool0412 j'y vais'","ʒ","m","s",1,2,1
122772,"75ccb2",1422,"guided","e0412s parce0312 quemon papa voulait l'emme0312ner au scout0412 il vo","s","k","m",1,0,2
122777,"75ccb2",1122,"guided","une1412 crise0412 delarme1423s.","z","d","l",1,0,3
122784,"75ccb2",1422,"guided","nchait parce0312 quemes/ mes/ mes frangins avaient adoré.","s","k","m",1,0,2
122789,"75ccb2",1122,"guided","0112 commence0412 lescout0411 à  huit0411 ans et moi ça me0112 branc","s","l","s",1,3,1
122794,"75ccb2",1422,"guided","2 rap/ parce0312 quemes grands frère0411s avaient fait du scoutisme0","s","k","m",1,0,2
122802,"75ccm1",422,"guided","CM : Analystefinancier sur0412 les actions.","s","t","f",1,0,1
122810,"75ccm1",1122,"guided","e0122 secteur0412 dela technologie, donc0412 des sociétés qui font","R","d","l",1,0,3
122813,"75ccm1",122,"guided","isais ça sur0412 lesecteur0412 de1122 la technologie, donc0412 des s","R","l","s",1,3,1
122815,"75ccm1",1122,"guided","qui s'appelle0412 le(X).","l","l","?",3,3,"?"
122824,"75ccm1",1122,"guided",": En Europe0412 del'Est0413. E : Hum. CM : En Pologne0411 en Hongri","p","d","l",0,0,3
122829,"75ccm1",1422,"guided","r1412 secteur0412 de/ d'activité économique0413.","R","d","d",1,0,0
122846,"75ccm1",422,"guided","2 science0411 exacteloin de0112 là . E : Hum.","k","t","l",0,0,3
122850,"75ccm1",1422,"guided","est passé ça entretemps donc1413'.","t","R","t",0,1,0
122854,"75ccm1",1122,"guided","é un peu ce0112 quetu leur0411 as dit ou tu as toujour0412s des moye","s","k","t",1,0,0
122865,"75ccm1",1422,"guided","te0412 parce0352 quetu dis 'ache0312tez' bon le1112 truc0412 même041","s","k","t",1,0,0
122881,"75ccm1",1122,"guided","rrivé on/ je0112 mesuis dit 'bon quand même0411' on va être0421 eu","ʒ","m","s",1,2,1
122902,"75ccm1",1122,"guided","les/ un type0412 deproduit enfin je0112 sais pas si tu es familière","p","d","p",0,0,0
122904,"75ccm1",1422,"guided","appelle0411 analystefinancier.","s","t","f",1,0,1
122908,"75ccm1",122,"guided","dre0422s donc0412 jesuis parti à  Londre0422s toujour0412s chez (X).","k","ʒ","s",0,1,1
122909,"75ccm1",422,"guided","suis parti à  Londres toujour0412s chez (X).","d","R","t",0,1,0
122911,"75ccm1",422,"guided","CM : A Londres donc0412 je0122 suis parti à  Londre0422s toujou","d","R","d",0,1,0
122924,"75ccm1",122,"guided","CM : Donc0412 jesuis parti avec0411 une0411 aut0452re personne041","k","ʒ","s",0,1,1
122927,"75ccr1",1122,"guided","j'ai pas mal0412 deno/ j'ai des notions grammaticale0412s","l","d","n",3,0,2
122930,"75ccr1",1122,"guided","e0411 en fait0412 je/ je1112/ je1112 sais et j'ai/ j'ai pas mal0412 de","t","ʒ"," ʒ",0,1,1
122950,"75ccr1",1222,"guided","énéral0411 ils prenaient","p","R","n",0,1,2
122952,"75ccr1",1122,"guided","leur0411s il0412s leparlaient pas forcément>","l","l","p",3,3,0
122955,"75ccr1",1122,"guided","aient pas il0412s leparlaient pas forcément d'ailleur0411s il0412s l","l","l","p",3,3,0
122957,"75ccr1",1122,"guided","CR : Il0412s leparlaient déjà  plus ou moins mais pas bien.","l","l","p",3,3,0
122962,"75ccr1",1422,"guided","ol0412 parce0352 quel'arabe1413.","s","k","l",1,0,3
122966,"75ccr1",1222,"guided","2naient peu. Ils prenaient surtout l'espagnol0412 parce0352 que1422 l'","p","R","n",0,1,2
122967,"75ccr1",1222,"guided",": Il0412s le1112 prenaient peu. Ils pre1222naient surtout l'espagnol04","p","R","n",0,1,2
122970,"75ccr1",1222,"guided","s il0412s le1122 prenaient pas>","p","R","n",0,1,2
122971,"75ccr1",1122,"guided","CR : Mais il0412s lepre1222naient pas>","l","l","p",3,3,0
122978,"75ccr1",1122,"guided","peux pas dire0412 jeparle0413.","R","ʒ","p",1,1,0
122983,"75ccr1",1122,"guided","0411 hein ce0112 queje0112 dis hein ma","s","k","ʒ",1,0,1
123000,"75ccr1",422,"guided","Mais par0411 exemplerécemment j'ai eu un dîner avec0411 un, un ami","p","l","R",0,3,1
123008,"75ccr1",1122,"guided","e1112 peu que0112 jesais c'est de0112 l'arabe0412 littéral0413. E :","k","ʒ","s",0,1,1
123013,"75ccr1",422,"guided","euh moi je0112 parlel'arabe0412 littéral0411 enfin le1112 peu que011","R","l","l",1,3,3
123034,"75ccr1",1122,"guided","es notions je0112 lelis.","ʒ","l","l",1,3,3
123037,"75ccr1",422,"guided","ire0412 je1112 parlel'arabe0411 hein. Mais j'ai des notions je0112 le","R","l","l",1,3,3
123039,"75ccr1",122,"guided","tions d'arabe0412 jepeux pas dire0412 je1112 parle0422 l'arabe0411 he","b","ʒ","p",0,1,0
123287,"75clb1",1122,"guided","les croûte0412s defromage0413 (rires) E : Oh (rires)","t","d","f",0,0,1
123293,"75clb1",1422,"guided",": Il faisait quelquechose0412 qui était euh très français c'est-à ","l","k","ʃ",3,0,1
123300,"75clb1",1122,"guided","t des étude0412s debiologie.","d","d","b",0,0,0
123337,"75clb1",1122,"guided","c'est pas mal0412 deparler plusieur0412s langue0412s couramment (rire","l","d","p",3,0,0
123344,"75clb1",1122,"guided","452re langue0412 quele0112 français.","g","k","l",0,0,3
123356,"75clb1",1222,"guided","ême0412 pour0412 regarder des fil0451ms il y en a très peu en alle03","R","R","g",1,1,0
123359,"75clb1",1422,"guided","t plus parce0352 quemême0412 pour0412 re1222garder des fil0451ms il","s","k","m",1,0,2
123373,"75clb1",1122,"guided","t euh langue0412s de/ de1112 travail0411 en fait0411 et encore0412 c'","g","d"," d",0,0,0
123517,"75csb1",1122,"guided","que0112 chef0412 deproduit chez (X).","f","d","p",1,0,0
123523,"75csb1",1122,"guided","t de0112 chef0412 deproduit.","f","d","p",1,0,0
123542,"75csb1",1122,"guided","0412 d'école0412 decommerce0413.","l","d","k",3,0,0
123552,"75csb1",122,"guided","SB : Euh donc0412 jesuis restée trois ans là -bas oui on était dans","k","ʒ","s",0,1,1
123568,"75csb1",1122,"guided","je1112 euh je0112 mesuis pas vraiment re0212trouvé là -de0212dans. J","ʒ","m","s",1,2,1
123578,"75csb1",422,"guided",,"t","R","?",0,1,"?"
123598,"75csb1",1122,"guided","SB : Pfff quete1112 dire0412 d'autre0423. C'était euh sans ê","f!","k","t","1!",0,0
123599,"75csb1",1222,"guided","SB : Une0412 petite0412 vie tranquille0411 euh.","n","p","t",2,0,0
123603,"75csb1",222,"guided","même0411 une0412 petite0412 vie euh.","n","p","t",2,0,0
123614,"75csb1",1122,"guided","enne0412 donc0412 lemétro pour0411 aller à  Paris donc1412 voilà .","k","l","m",0,3,2
123618,"75csb1",1122,"guided","s plus jeune0412 queje0112 prenne0412 donc0412 le1122 métro pour0411","n","k","ʒ",2,0,1
123625,"75csb1",422,"guided","mi-che1212min entrela banlieue et Paris c'est-à -dire0412 que1121 en","t","R","l",0,1,3
123631,"75csb1",1122,"guided","le0112 cent0452re deParis. E : Hum.","R","d","p",1,0,0
123640,"75csb1",1422,"guided","Paris parce0352 quequand j'étais plus jeune0412 donc0412 j'habitais","s","k","k",1,0,0
123642,"75csb1",1122,"guided","eur0412 coeur0412 deParis parce0352 que1422 quand j'étais plus jeune","R","d","p",1,0,0
123859,"75ccb2",422,"guided","s faire0412 la listemais.","s","t","m",1,0,2
123861,"75ccb2",122,"guided","lande0412 (bruit) jeveux pas faire0412 la liste0422 mais.","?","ʒ","v","?",1,1
123869,"75ccb2",422,"guided","quateur0411 euh septmois.","p*","t","m","0*",0,2
123877,"75ccb2",122,"guided","r0412 ça que0112 jete1122 disais plus0412 la musique0412 voilà . (br","k","ʒ","t",0,1,0
123878,"75ccb2",1122,"guided","disais plus0412 la musique0412 voilà . (bruit)","?","?","d","?","?",0
123883,"75ccb2",1122,"guided","2 la musique0412 quela lecture0413. C'est pour0412 ça que0112 je0122","k","k","l",0,0,3
123886,"75ccb2",1122,"guided","mme0412 si je0112 tedisais je0112 lis beaucoup aussi tu vois c'est pa","ʒ","t","d",1,0,0
123932,"75ccr1",1422,"guided","agnol0411 et quelques notions d'italien j'ai/ en général0412 j'arriv","l","k","n",3,0,2
123938,"75ccr1",1122,"guided","bien mais je0112 leparle0423.","ʒ","l","p",1,3,0
123947,"75ccr1",422,"guided",,"t","R","?",0,1,"?"
124027,"75clb1",1122,"guided","nt de1112 ce0112 quemoi j'ai fait mais dans les matière0412s scienti","s","k","m",1,0,2
124051,"75clb1",1422,"guided",,"t","R","?",0,1,"?"
124053,"75clb1",1422,"guided",,"t","R","?",0,1,"?"
124055,"75clb1",1422,"guided",,"t","R","?",0,1,"?"
124077,"75clb1",1122,"guided","112 contrôle0412 degestion. E : Hum hum.","l","d","ʒ",3,0,1
124135,"75csb1",122,"guided","12 pe1222tite0412 jerêvais d'habiter dans le0112 coeur0412 coeur0412","t","ʒ","R",0,1,1
124136,"75csb1",1222,"guided","212puis toute0412 petite0412 je0122 rêvais d'habiter dans le0112 coeu","t","p","t",0,0,0
124146,"75csb1",1122,"guided","SB : Pour0412 leshopping0413. E : Hum hum. SB : Très important p","R","l","ʃ",1,3,1
124155,"75csb1",1422,"guided","se0412 parce0352 quemon ami euh mon copain habitait là -bas.","s","k","m",1,0,2
124221,"75ccb2",1122,"guided","12 mélomane0412 queça.","n","k","s",2,0,1
124228,"75ccb2",1122,"guided","cds avant de0112 meles faire0412 voler voilà  mais c'est pas un.","d","m","l",0,2,3
124229,"75ccm1",1222,"guided","une0412 toute0412 petite0411 antenne0411 on était trois.","t","p","t",0,0,0
