SearchID,Speaker,LeftContext,Codes,RightContext,City
30,snaac1," que1114, ce1132 que",1112, j'aime0412 faire0412 quand j'ai un minimum0412 de,Senegal Dakar
31,snaac1,e0352nant ce1112 que,1114,", ce1132 que1112 j'aime0412 faire0412 quand j'ai u",Senegal Dakar
32,snaac1,n/ mainte0352nant ce,1112," que1114, ce1132 que1112 j'aime0412 faire0412 quan",Senegal Dakar
33,snaac1,: euh euh c'est lire,414,", euh euh,",Senegal Dakar
34,snaac1,G: mais main/ mainte,352,"nant ce1112 que1114, ce1132 que1112 j'aime0412 fai",Senegal Dakar
35,snaac1,e1112 que1112 j'aime,412, faire0412 c'est,Senegal Dakar
36,snaac1,'est vrai que1112 je,1112," me0112 suis re1212trouvee dans, dans, dans les A",Senegal Dakar
37,snaac1,le1122 voyage0412 de,1124,", d'Italie.",Senegal Dakar
38,snaac1,cide0411 avec0412 le,1122," voyage0412 de1124, d'Italie.",Senegal Dakar
39,snaac1,us en plus difficile,312,ment du temps (rires) pour0412 me1122 re1212poser.,Senegal Dakar
40,snaac1,u temps (rires) pour,412, me1122 re1212poser.,Senegal Dakar
41,snaac1, (rires) pour0412 me,1122, re1212poser.,Senegal Dakar
42,snaac1,) pour0412 me1122 re,1212,poser.,Senegal Dakar
43,snaac1,SNAAC1G: Mais euh ce,1112, que1112 j'aime0412 faire0412 c'est,Senegal Dakar
44,snaac1, Mais euh ce1112 que,1112, j'aime0412 faire0412 c'est,Senegal Dakar
45,snaac1,SNAAC1G: C'est que,1114,", pfff, je1132 trouve1412 de1112 plus en plus diff",Senegal Dakar
46,snaac1,ins une0412 fois par,412, mois.,Senegal Dakar
47,snaac1,NAAC1G: Euh quand je,1112, veux me1112 re1212poser,Senegal Dakar
48,snaac1,quand je1112 veux me,1112, re1212poser,Senegal Dakar
49,snaac1,", de1132 se1112 voir",411, au moins une0412 fois par0412 mois.,Senegal Dakar
50,snaac1,oir0411 au moins une,412, fois par0412 mois.,Senegal Dakar
51,snaac1,"t de1114, de1134, de",1132, se1112 voir0411 au moins une0412 fois par0412 moi,Senegal Dakar
52,snaac1,"4, de1134, de1132 se",1112, voir0411 au moins une0412 fois par0412 mois.,Senegal Dakar
53,snaac1, decide enfin elle,411, a propose a ce0112 qu'on se1112 voie une0412 fo,Senegal Dakar
54,snaac1,411 a propose a ce,112, qu'on se1112 voie une0412 fois par0412 mois.,Senegal Dakar
55,snaac1,,1112, voie une0412 fois par0412 mois.,Senegal Dakar
56,snaac1,u'on se1112 voie une,412, fois par0412 mois.,Senegal Dakar
57,snaac1,oie une0412 fois par,412, mois.,Senegal Dakar
58,snaac1,au moins on sait que,1112, chacun est tras occupe,Senegal Dakar
59,snaac1,ulture0411 africaine,414,",",Senegal Dakar
60,snaac1,SNAAC1G: et elle,411, a decide enfin elle0411 a propose a ce0112 qu,Senegal Dakar
61,snaac1,en train de1112 perd,452,"re not0452re culture0411 africaine0414,",Senegal Dakar
62,snaac1,e1112 perd0452re not,452,"re culture0411 africaine0414,",Senegal Dakar
63,snaac1,re not0452re culture,411," africaine0414,",Senegal Dakar
64,snaac1,22 notre1422 culture,411, africaine0413.,Senegal Dakar
65,snaac1,ulture0411 africaine,413,0,Senegal Dakar
66,snaac1," y en, il y en a une",412, qui a decide que1111 on etait en train de1112,Senegal Dakar
67,snaac1,2 qui a decide que,1111, on etait en train de1112 perd0452re not0452re cu,Senegal Dakar
68,snaac1, train de1112 perdre,1422, notre1422 culture0411 africaine0413.,Senegal Dakar
69,snaac1,": euh, parce0312 que",1422," il y avait une1412 ma, ma voisine0411 immediate0",Senegal Dakar
70,snaac1,e1422 il y avait une,1412," ma, ma voisine0411 immediate0412 d'ailleur0414s,",Senegal Dakar
71,snaac1,"e1412 ma, ma voisine",411," immediate0412 d'ailleur0414s,",Senegal Dakar
72,snaac1,isine0411 immediate,412," d'ailleur0414s,",Senegal Dakar
73,snaac1,,414,"s,",Senegal Dakar
74,snaac1,"erdu son, son frare",411, et on ne0112 savait pas,Senegal Dakar
75,snaac1, frare0411 et on ne,112, savait pas,Senegal Dakar
76,snaac1,rant on trouvait que,1112, bon c'etait qu'on etait en train de1112 perdre1,Senegal Dakar
77,snaac1,te0411 on a fait une,411," association,",Senegal Dakar
78,snaac1,"SNAAC1G: euh, parce",312," que1422 il y avait une1412 ma, ma voisine0411 imm",Senegal Dakar
79,snaac1, la rue oa j'habite,411," on a fait une0411 association,",Senegal Dakar
80,snaac1, au niveau des femme,412,s dans la rue oa j'habite0411 on a fait une0411 a,Senegal Dakar
81,snaac1,n les gens s'entende,1412,"nt bien, c'est, c'est des re1212lations de1112 bon",Senegal Dakar
82,snaac1," c'est, c'est des re",1212,lations de1112 bonne0411 intelligence0411 oui.,Senegal Dakar
83,snaac1,des re1212lations de,1112, bonne0411 intelligence0411 oui.,Senegal Dakar
84,snaac1,lations de1112 bonne,411, intelligence0411 oui.,Senegal Dakar
85,snaac1,SNAAC1G: le,1112," voyage0411 en, en perspective0413.",Senegal Dakar
86,snaac1,ive0412 qu'on rentre,422, les voiture1111s euh.,Senegal Dakar
87,snaac1,ntre0422 les voiture,1111,s euh.,Senegal Dakar
88,snaac1,"and, quand on arrive",412, qu'on rentre0422 les voiture1111s euh.,Senegal Dakar
89,snaac1,"tre1424, le1132 soir",412," tras tar0414d, quand, quand on arrive0412 qu'on",Senegal Dakar
90,snaac1,2 soir0412 tras tar,414,"d, quand, quand on arrive0412 qu'on rentre0422 les",Senegal Dakar
91,snaac1,SNAAC1G: On se,1112," rencontre1424, le1132 soir0412 tras tar0414d, qu",Senegal Dakar
92,snaac1, On se1112 rencontre,1424,", le1132 soir0412 tras tar0414d, quand, quand on",Senegal Dakar
93,snaac1,aucoup parce0312 que,1422," chacun est tras, tras, tras, tras occupe don",Senegal Dakar
94,snaac1,", tras occupe donc",411, euh.,Senegal Dakar
95,snaac1,SNAAC1G: parce,322," qu'au fond, il y en a pas beaucoup parce0312 que1",Senegal Dakar
96,snaac1,ai envie de1112 dire,411, on a de1112 bonne0412s re1222lations,Senegal Dakar
97,snaac1,AAC1G: j'ai envie de,1112, dire0411 on a de1112 bonne0412s re1222lations,Senegal Dakar
98,snaac1,"NAAC1G: que1134, que",1132, j'ai comme0412 voisins euh.,Senegal Dakar
99,snaac1,SNAAC1G: que,1134,", que1132 j'ai comme0412 voisins euh.",Senegal Dakar
100,snaad1,SNAAD1G: donc,412, c'est aa.,Senegal Dakar
101,snaad1,ute0412 baate1412 de,1112," documents,",Senegal Dakar
102,snaad1,"euh, toute0412 baate",1412," de1112 documents,",Senegal Dakar
103,snaad1,"toute1411 euh, toute",412," baate1412 de1112 documents,",Senegal Dakar
104,snaad1,SNAAD1G: toute,1411," euh, toute0412 baate1412 de1112 documents,",Senegal Dakar
105,snaad1,ees et faire0412 de,1122," la saisie,",Senegal Dakar
106,snaad1,22 donnees et faire,412," de1122 la saisie,",Senegal Dakar
107,snaad1,ans des base0412s de,1122," donnees et faire0412 de1122 la saisie,",Senegal Dakar
108,snaad1,ir0412 dans des base,412,"s de1122 donnees et faire0412 de1122 la saisie,",Senegal Dakar
109,snaad1,D1G: donc0412 saisir,412, dans des base0412s de1122 donnees et faire0412 d,Senegal Dakar
110,snaad1,e0411s ou d'enquaate,414,"s,",Senegal Dakar
111,snaad1,SNAAD1G: donc,412, saisir0412 dans des base0412s de1122 donnees et,Senegal Dakar
112,snaad1, de1132 la saisie de,1114,", de1132 documents ou de1111,",Senegal Dakar
113,snaad1,estadire0412 que,1122," je1112 supervise0412 des euh,",Senegal Dakar
114,snaad1,ommerciale0412 comme,411," on dit,",Senegal Dakar
115,snaad1," de1122, commerciale",412," comme0411 on dit,",Senegal Dakar
116,snaad1, suis manager0412 de,1122,", commerciale0412 comme0411 on dit,",Senegal Dakar
117,snaad1,AAD1G: (clic) Moi je,1112," suis manager0412 de1122, commerciale0412 comme041",Senegal Dakar
118,snaad1,a reception d'appel,413,s.,Senegal Dakar
119,snaad1,SNAAD1G: Donc,412," c'est juste0451 un, le1114, ce1132 qu'on appelle0",Senegal Dakar
120,snaad1,Donc0412 c'est juste,451," un, le1114, ce1132 qu'on appelle0412 la re1212lat",Senegal Dakar
121,snaad1,"est juste0451 un, le",1114,", ce1132 qu'on appelle0412 la re1212lation clients",Senegal Dakar
122,snaad1, de0112 la saisie de,1112, documents ou faire0412 de1122 la reception d'app,Senegal Dakar
123,snaad1,2 documents ou faire,412, de1122 la reception d'appel0413s.,Senegal Dakar
124,snaad1, a de1112 l'enquaate,412," par0412 telephone0414,",Senegal Dakar
125,snaad1,0412 par telephone,414,",",Senegal Dakar
126,snaad1,SNAAD1G: il y a de,1112," l'enquaate0412 par0412 telephone0414,",Senegal Dakar
127,snaad1,0412 de1122 la vente,412," par telephone0414,",Senegal Dakar
128,snaad1," la vente0414, faire",412," de1122 la vente0412 par telephone0414,",Senegal Dakar
129,snaad1,ce1112 qu'on appelle,412," de1122 la vente0414, faire0412 de1122 la vente041",Senegal Dakar
130,snaad1,qu'on appelle0412 de,1122," la vente0414, faire0412 de1122 la vente0412 par t",Senegal Dakar
131,snaad1,SNAAD1G: Il y a ce,1112," qu'on appelle0412 de1122 la vente0414, faire0412",Senegal Dakar
132,snaad1,nts niveaux du moins,413,0,Senegal Dakar
133,snaad1,1G: Je0132 travaille,413,0,Senegal Dakar
134,snaad1,"G: Euh, aa consiste",422," il y a differente1411s euh,",Senegal Dakar
135,snaas1, C'est par0412 faute,412, de1122 manque1412 de1112 temps.,Senegal Dakar
136,snaas1,"i, les deux departe",1322,ments. C'est par0412 faute0412 de1122 manque1412 d,Senegal Dakar
137,snaas1,SNAAS1G: de,1132," cumuler les deux qui, les deux departe1322ments.",Senegal Dakar
138,snaas1, temps d'assister de,1112,",",Senegal Dakar
139,snaas1,SNAAS1G: je,1132," n/, je1132 n'avais pas d/ le1122 temps d'assister",Senegal Dakar
140,snaas1,"AAS1G: je1132 n/, je",1132," n'avais pas d/ le1122 temps d'assister de1112,",Senegal Dakar
141,snaas1, a l'origine0412 de,1114,",",Senegal Dakar
142,snaas1,SNAAS1G: Euh cette,411," annulation est a l'origine0412 de1114,",Senegal Dakar
143,snaas1,ranaais et histoire,412, geographie.,Senegal Dakar
144,snaas1,ir0411 un professeur,413,0,Senegal Dakar
145,snaas1,S1G: De1232ve1312nir,411, un professeur0413.,Senegal Dakar
146,snaas1,SNAAS1G: De1232ve,1312,nir0411 un professeur0413.,Senegal Dakar
147,snaas1, Lettre0452s Moderne,423,s.,Senegal Dakar
148,snaas1,"SNAAS1G: Euh, je",1132, suis en deuxiame0411 annee.,Senegal Dakar
149,snaas1,32 suis en deuxiame,411, annee.,Senegal Dakar
150,snaas1," inscription ici, je",1132," suis des cours labas,",Senegal Dakar
151,snaas1,"re0424s, au departe",1322,ment de1112 Lettre0452s Moderne0423s.,Senegal Dakar
152,snaas1,culte de1112 Lettre,424,"s, au departe1322ment de1112 Lettre0452s Moderne0",Senegal Dakar
153,snaas1,"u, a la faculte de",1112," Lettre0424s, au departe1322ment de1112 Lettre045",Senegal Dakar
154,snaas1,AAS1G: En deux mille,412, quatre0453.,Senegal Dakar
155,snaas1,eux mille0412 quatre,453,0,Senegal Dakar
156,snaas1,e0412 de1122 Kaolack,413,0,Senegal Dakar
157,snaas1,SNAAS1G: La serie L,412, prime0411 un.,Senegal Dakar
158,snaas1,a serie L0412 prime,411, un.,Senegal Dakar
159,snaas1, boulot comme0411 il,412," se1122 de1212vait, vraiment. Hum.",Senegal Dakar
160,snaas1, comme0411 il0412 se,1122," de1212vait, vraiment. Hum.",Senegal Dakar
161,snaas1,", le1132 mil0414, le",1132," maas0414, le1132 manioc0413 .",Senegal Dakar
162,snaas1,ait son boulot comme,411," il0412 se1122 de1212vait, vraiment. Hum",Senegal Dakar
163,snaas1, qui parlait bien le,1112," franaais,",Senegal Dakar
164,snaas1, qui travaillait dur,411," aussi, oui.",Senegal Dakar
165,snaas1, franaais du nom de,1112, Monsieur Ngom0412,Senegal Dakar
166,snaas1, c'est un professeur,412, de1122 franaais du nom de1112 Monsieur Ngom0412,Senegal Dakar
167,snaat1,chologique0412s donc,414,",",Senegal Dakar
168,snaat1,SNAAT1G: si je,1112," me1112 lance0412 dans le1112 journalisme0424, aa",Senegal Dakar
169,snaat1,deja des problame,412,"s psychologique0412s donc0414,",Senegal Dakar
170,snaat1,"it 'moi, journaliste",424,", prr',",Senegal Dakar
171,snaat1,'un de1112 ses livre,423,s.,Senegal Dakar
172,snaat1,ais la conception de,1112," ses, d'un de1112 ses livre0423s.",Senegal Dakar
173,snaat1," de1112 ses, d'un de",1112, ses livre0423s.,Senegal Dakar
174,snaat1,me0412s qui confare,412,nt la connaissance0413.,Senegal Dakar
175,snaat1,12nt la connaissance,413,0,Senegal Dakar
176,snaat1,"SNAAT1G: Bon, je",1132," suis allee faire0411 une0412 formation en, en in",Senegal Dakar
177,snaat1,32 suis allee faire,411," une0412 formation en, en infographie, pas le1112",Senegal Dakar
178,snaat1,allee faire0411 une,412," formation en, en infographie, pas le1112 Bac0411",Senegal Dakar
179,snaat1," infographie, pas le",1112, Bac0411 en poche0413.,Senegal Dakar
180,snaat1,"phie, pas le1112 Bac",411, en poche0413.,Senegal Dakar
181,snaat1,112 Bac0411 en poche,413,0,Senegal Dakar
182,snaat1,ac0412 c'est pas une,411," fin en soi,",Senegal Dakar
183,snaat1,"are0414, le1132 Bac",412," c'est pas une0411 fin en soi,",Senegal Dakar
184,snaat1,"a mon pare0414, le",1132," Bac0412 c'est pas une0411 fin en soi,",Senegal Dakar
185,snaat1,ai dit a mon pare,414,", le1132 Bac0412 c'est pas une0411 fin en soi,",Senegal Dakar
186,snaat1,1122 reveillais que,1112, cinq0412 jour0411s apras.,Senegal Dakar
187,snaat1,eillais que1112 cinq,412, jour0411s apras.,Senegal Dakar
188,snaat1,ue1112 cinq0412 jour,411,s apras.,Senegal Dakar
189,snaat1,royaient a des truc,412,s mystique0411s euh bon on a tout fait aa n'a pas,Senegal Dakar
190,snaat1,s truc0412s mystique,411,s euh bon on a tout fait aa n'a pas marche bon.,Senegal Dakar
191,snaat1, et je1112 ne0112 me,1122, reveillais que1112 cinq0412 jour0411s apras.,Senegal Dakar
192,snaat1,perdais connaissance,411, et je1112 ne0112 me1122 reveillais que1112 cinq0,Senegal Dakar
193,snaat1,nnaissance0411 et je,1112, ne0112 me1122 reveillais que1112 cinq0412 jour04,Senegal Dakar
194,snaat1,0412 faut le1112 Bac,414,",",Senegal Dakar
195,snaat1,"e a l'ISSIC0414, il",412," faut le1112 Bac0414,",Senegal Dakar
196,snaat1,NAAT1G: a la veille,412," des examens, je1132 perdais connaissance0411 et j",Senegal Dakar
197,snaat1,ame0412s bon chaque,412," fois que1114,",Senegal Dakar
198,snaat1,,412," quoi, je1134, bon.",Senegal Dakar
199,snaat1,"a taate0412 quoi, je",1134,", bon.",Senegal Dakar
200,snaat1,ai eu des problame,412,"s bon chaque0412 fois que1114,",Senegal Dakar
201,snaat1, j'etais suivie par,412, le1122 Professeur0412 Momar0412 GUEYE0413.,Senegal Dakar
202,snaat1,is suivie par0412 le,1122, Professeur0412 Momar0412 GUEYE0413.,Senegal Dakar
203,snaat1,depression nerveuse,412, pendant deux ans et j'etais suivie par0412 le112,Senegal Dakar
204,snaat1,depression nerveuse,412, pendant deux ans.,Senegal Dakar
205,snaat1,SNAAT1G: J'ai eu une,412, depression nerveuse0412 pendant deux ans et j'e,Senegal Dakar
206,snaat1,"Et la, en Terminale",414,", j'ai craque.",Senegal Dakar
207,snaat1,e jusqu'en Terminale,413,0,Senegal Dakar
208,snaat1,en Se1212conde0412 S,412, m'ont suivie jusqu'en Terminale0413.,Senegal Dakar
209,snaat1,avais en Se1212conde,412, S0412 m'ont suivie jusqu'en Terminale0413.,Senegal Dakar
210,snaat1,s problame0412s que,1122, j'avais en Se1212conde0412 S0412 m'ont suivie jus,Senegal Dakar
211,snaat1,ue1122 j'avais en Se,1212,conde0412 S0412 m'ont suivie jusqu'en Terminale041,Senegal Dakar
212,snaat1,n mais les problame,412,s que1122 j'avais en Se1212conde0412 S0412 m'ont s,Senegal Dakar
213,snaat1,itte la se1212conde,412," S malgre moi, malgre mon pare0412 pour0412 fai",Senegal Dakar
214,snaat1,"i, malgre mon pare",412, pour0412 faire0412 la premiare0411 L0413.,Senegal Dakar
215,snaat1,,412, faire0412 la premiare0411 L0413.,Senegal Dakar
216,snaat1,e0412 pour0412 faire,412, la premiare0411 L0413.,Senegal Dakar
217,snaat1,ire0412 la premiare,411, L0413.,Senegal Dakar
218,snaat1,2 la premiare0411 L,413,0,Senegal Dakar
219,snaat1,SNAAT1G: je,1132, dirais pas des trouble0422s psychologique0412s ma,Senegal Dakar
220,snaat1,rais pas des trouble,422,s psychologique0412s mais bon aa m'a plus ou moin,Senegal Dakar
221,snaat1,312ment la premiare,414,", pou, pour0412 faire la premiare0411 annee a l",Senegal Dakar
222,snaat1,avais pas l'habitude,412," des mauvaise0412s note0414s,",Senegal Dakar
223,snaat1,ude0412 des mauvaise,412,"s note0414s,",Senegal Dakar
224,snaat1,s mauvaise0412s note,414,"s,",Senegal Dakar
225,snaat1,SNAAT1G: donc,412," ce1122 qui a quelque1422 par0412t provoque des,",Senegal Dakar
226,snaat1,s ou moins difficile,411, et j'avais pas l'habitude0412 des mauvaise0412s n,Senegal Dakar
227,snaat1,SNAAT1G: ce,1132," qui ne1112 marchait pas trop, donc0412 j'ai fait",Senegal Dakar
228,snaat1,AAT1G: ce1132 qui ne,1112," marchait pas trop, donc0412 j'ai fait une0412 se1",Senegal Dakar
229,snaat1,"chait pas trop, donc",412, j'ai fait une0412 se1222conde plus ou moins diffi,Senegal Dakar
230,snaat1,nc0412 j'ai fait une,412, se1222conde plus ou moins difficile0411 et j'avai,Senegal Dakar
231,snaat1,j'ai fait une0412 se,1222,conde plus ou moins difficile0411 et j'avais pas l,Senegal Dakar
232,snaat1,SNAAT1G: mais math,412,s j'avais toujour0411s un.,Senegal Dakar
233,snaat1,412s j'avais toujour,411,s un.,Senegal Dakar
234,snaat1,"t en geographie, je",1132," me0112 debrouillais bien en lettre0454s,",Senegal Dakar
235,snaat1,,112," debrouillais bien en lettre0454s,",Senegal Dakar
236,snaat1,"m/, je1132 me1112 re",1212,"trouvais avec0412 des quinze0414, des seize0411 en",Senegal Dakar
237,snaat1, re1212trouvais avec,412," des quinze0414, des seize0411 en histoire0411 et",Senegal Dakar
238,snaat1, avec0412 des quinze,414,", des seize0411 en histoire0411 et en geographie,",Senegal Dakar
239,snaat1,"uinze0414, des seize",411," en histoire0411 et en geographie, je1132 me0112",Senegal Dakar
240,snaat1,SNAAT1G: parce,312," (que) normale0312ment la premiare0414, pou, pour",Senegal Dakar
241,snaat1,"je1132 m/, je1132 me",1112," re1212trouvais avec0412 des quinze0414, des seize",Senegal Dakar
242,snaat1,SNAAT1G: je,1132," m/, je1132 me1112 re1212trouvais avec0412 des qui",Senegal Dakar
243,snaat1,12nir0411 astronaute,414,'. J'ai fait la se1212conde0411 S0412 qui n'a pas,Senegal Dakar
244,snaat1,14'. J'ai fait la se,1212,"conde0411 S0412 qui n'a pas trop marche,",Senegal Dakar
245,snaat1, fait la se1212conde,411," S0412 qui n'a pas trop marche,",Senegal Dakar
246,snaat1,la se1212conde0411 S,412," qui n'a pas trop marche,",Senegal Dakar
247,snaat1, pas de1212ve1312nir,411, astronaute0414'. J'ai fait la se1212conde0411 S04,Senegal Dakar
248,snaat1,nc0412 reste1422 sur,412," terre0414,",Senegal Dakar
249,snaat1,te1422 sur0412 terre,414,",",Senegal Dakar
250,snaat1,AT1G: il faut pas de,1212,ve1312nir0411 astronaute0414'. J'ai fait la se1212,Senegal Dakar
251,snaat1,"sion, donc0412 reste",1422," sur0412 terre0414,",Senegal Dakar
252,snaat1,es problame0412s de,1122," vision, donc0412 reste1422 sur0412 terre0414,",Senegal Dakar
253,snaat1,a dit ' mais toi sur,412," terre0412 tu vois pas et tu veux t'envoler, tu as",Senegal Dakar
254,snaat1,is toi sur0412 terre,412," tu vois pas et tu veux t'envoler, tu as des probl",Senegal Dakar
255,snaat1, tu as des problame,412,"s de1122 vision, donc0412 reste1422 sur0412 terre0",Senegal Dakar
256,snaat1,parce0312 que1121 il,411," a pris des risques1124,",Senegal Dakar
257,snaat1, evidente0412 parce,312," que1121 il0411 a pris des risques1124,",Senegal Dakar
258,snaat1,te0412 parce0312 que,1121," il0411 a pris des risques1124,",Senegal Dakar
259,snaat1,ue0412 parce0312 que,1124,", disaitil0414, il0412 voulait que1112 je0112 de1",Senegal Dakar
260,snaat1,"2 que1124, disaitil",414,", il0412 voulait que1112 je0112 de1222vienne0414,",Senegal Dakar
261,snaat1,"4, disaitil0414, il",412," voulait que1112 je0112 de1222vienne0414,",Senegal Dakar
262,snaat1,", il0412 voulait que",1112," je0112 de1222vienne0414,",Senegal Dakar
263,snaat1,2 voulait que1112 je,112," de1222vienne0414,",Senegal Dakar
264,snaat1,it que1112 je0112 de,1222,"vienne0414,",Senegal Dakar
265,snaat1, je0112 de1222vienne,414,",",Senegal Dakar
266,snaat1,"t on dit, astronaute",413, (rires).,Senegal Dakar
267,snaat1,SNAAT1G: alor,411,s un de1112 mes prof0412s m'a dit ' mais toi sur04,Senegal Dakar
268,snaat1,T1G: alor0411s un de,1112, mes prof0412s m'a dit ' mais toi sur0412 terre041,Senegal Dakar
269,snaat1,AT1G: Mais mon pare,412, voulait m'obliger a faire0412 la serie scientif,Senegal Dakar
270,snaat1,t m'obliger a faire,412," la serie scientifique0412 parce0312 que1124, dis",Senegal Dakar
271,snaat1, serie scientifique,412," parce0312 que1124, disaitil0414, il0412 voulait",Senegal Dakar
272,snabn1,: Mais dans des zone,412,"s comme0412 dans les pays anglophones0414, en Aust",Senegal Dakar
273,snabn1,"les, les francophone",411,s on tient pas compte0412 beaucoup de1112 l'action,Senegal Dakar
274,snabn1,at sous forme0422 de,1122, valeur0423s.,Senegal Dakar
275,snabn1,2 l'atat sous forme,422, de1122 valeur0423s.,Senegal Dakar
276,snabn1,"avons, nous re1212ce",1312,"vons des, des re1212merciements,",Senegal Dakar
277,snabn1,"1312vons des, des re",1212,"merciements,",Senegal Dakar
278,snabn1," nous avons, nous re",1212,"ce1312vons des, des re1212merciements,",Senegal Dakar
279,snabn1,11 action sur0412 le,1122, terrain.,Senegal Dakar
280,snabn1,telle0411 action sur,412, le1122 terrain.,Senegal Dakar
281,snabn1,12 sanctionner telle,411, action sur0412 le1122 terrain.,Senegal Dakar
282,snabn1,es attestations pour,412, sanctionner telle0411 action sur0412 le1122 terra,Senegal Dakar
283,snabn1,des titre0422s comme,412, des attestations pour0412 sanctionner telle0411 a,Senegal Dakar
284,snabn1,SNABN1G: des titre,422,s comme0412 des attestations pour0412 sanctionner,Senegal Dakar
285,snabn1,"BN1G: Oui, oui parce",312, que1412 des fois on euh re1212aoit,Senegal Dakar
286,snabn1,"i, oui parce0312 que",1412, des fois on euh re1212aoit,Senegal Dakar
287,snabn1,t aa la difference,413,0,Senegal Dakar
288,snabn1,SNABN1G: il0412 tire,411, un profit. C'est aa la difference0413.,Senegal Dakar
289,snabn1,ui tout ce1112 qu'il,412," fait,",Senegal Dakar
290,snabn1,SNABN1G: il,412, tire0411 un profit. C'est aa la difference0413.,Senegal Dakar
291,snabn1,"1114, le1132 secteur",412," prive, lui tout ce1112 qu'il0412 fait,",Senegal Dakar
292,snabn1,"14, le1134, l'acteur",412," qui est dans le1114, le1132 secteur0412 prive, l",Senegal Dakar
293,snabn1,0412 qui est dans le,1114,", le1132 secteur0412 prive, lui tout ce1112 qu'il",Senegal Dakar
294,snabn1,Alor0412s que1122 le,1114,", le1134, l'acteur0412 qui est dans le1114, le1132",Senegal Dakar
295,snabn1,ABN1G: Alor0412s que,1122," le1114, le1134, l'acteur0412 qui est dans le1114,",Senegal Dakar
296,snabn1,SNABN1G: Alor,412,"s que1122 le1114, le1134, l'acteur0412 qui est dan",Senegal Dakar
297,snabn1,"il0414s, il0414s, il",412,s beneficient des subventions.,Senegal Dakar
298,snabn1,iper a l'exterieur,414,",",Senegal Dakar
299,snabn1,"e0412 les, les exper",412,ts sont pris en charge0413.,Senegal Dakar
300,snabn1, sont pris en charge,413,0,Senegal Dakar
301,snabn1,SNABN1G: Il,412,s peuve0412nt beneficier d'une0412 prise en char,Senegal Dakar
302,snabn1,ABN1G: Il0412s peuve,412,nt beneficier d'une0412 prise en charge0422 pour,Senegal Dakar
303,snabn1,t beneficier d'une,412, prise en charge0422 pour0411 aller participer a,Senegal Dakar
304,snabn1,0412 prise en charge,422," pour0411 aller participer a l'exterieur0414,",Senegal Dakar
305,snabn1,e en charge0422 pour,411," aller participer a l'exterieur0414,",Senegal Dakar
306,snabn1, la societe civile,412," les, les exper0412ts sont pris en charge0413.",Senegal Dakar
307,snabn1,SNABN1G: Parce,312, que1122 les gens de1112 la societe civile0412 l,Senegal Dakar
308,snabn1,re0412 compensatoire,412, mais pas un salaire0411 effectif0413.,Senegal Dakar
309,snabn1,salaire0411 effectif,413,0,Senegal Dakar
